"YEAR","STATE","TX_OPTN_ADULTS","TX_SRTR_TX","IS_DIFF","DIFF"
2018,"AL",119,119,FALSE,0
2019,"AL",128,128,FALSE,0
2020,"AL",97,97,FALSE,0
2021,"AL",72,72,FALSE,0
2018,"AR",37,37,FALSE,0
2019,"AR",43,43,FALSE,0
2020,"AR",33,33,FALSE,0
2021,"AR",45,45,FALSE,0
2018,"AZ",281,281,FALSE,0
2019,"AZ",326,326,FALSE,0
2020,"AZ",297,297,FALSE,0
2021,"AZ",311,311,FALSE,0
2018,"CA",816,816,FALSE,0
2019,"CA",903,903,FALSE,0
2020,"CA",959,959,FALSE,0
2021,"CA",959,959,FALSE,0
2018,"CO",119,119,FALSE,0
2019,"CO",148,148,FALSE,0
2020,"CO",121,121,FALSE,0
2021,"CO",145,145,FALSE,0
2018,"CT",60,60,FALSE,0
2019,"CT",48,48,FALSE,0
2020,"CT",48,48,FALSE,0
2021,"CT",53,53,FALSE,0
2018,"DC",92,92,FALSE,0
2019,"DC",96,96,FALSE,0
2020,"DC",105,105,FALSE,0
2021,"DC",112,112,FALSE,0
2018,"DE",0,0,FALSE,0
2019,"DE",0,0,FALSE,0
2020,"DE",0,0,FALSE,0
2021,"DE",0,0,FALSE,0
2018,"FL",517,517,FALSE,0
2019,"FL",625,625,FALSE,0
2020,"FL",625,625,FALSE,0
2021,"FL",721,721,FALSE,0
2018,"GA",265,265,FALSE,0
2019,"GA",269,269,FALSE,0
2020,"GA",260,260,FALSE,0
2021,"GA",276,276,FALSE,0
2018,"HI",11,11,FALSE,0
2019,"HI",13,13,FALSE,0
2020,"HI",16,16,FALSE,0
2021,"HI",17,17,FALSE,0
2018,"IA",29,29,FALSE,0
2019,"IA",32,32,FALSE,0
2020,"IA",32,32,FALSE,0
2021,"IA",19,19,FALSE,0
2018,"IL",279,279,FALSE,0
2019,"IL",304,304,FALSE,0
2020,"IL",361,361,FALSE,0
2021,"IL",341,340,TRUE,1
2018,"IN",145,145,FALSE,0
2019,"IN",144,144,FALSE,0
2020,"IN",127,127,FALSE,0
2021,"IN",161,161,FALSE,0
2018,"KS",79,79,FALSE,0
2019,"KS",80,80,FALSE,0
2020,"KS",45,45,FALSE,0
2021,"KS",50,50,FALSE,0
2018,"KY",83,83,FALSE,0
2019,"KY",67,67,FALSE,0
2020,"KY",70,70,FALSE,0
2021,"KY",93,93,FALSE,0
2018,"LA",247,247,FALSE,0
2019,"LA",239,239,FALSE,0
2020,"LA",196,196,FALSE,0
2021,"LA",174,174,FALSE,0
2018,"MA",263,263,FALSE,0
2019,"MA",271,271,FALSE,0
2020,"MA",277,277,FALSE,0
2021,"MA",273,273,FALSE,0
2018,"MD",227,227,FALSE,0
2019,"MD",207,207,FALSE,0
2020,"MD",191,191,FALSE,0
2021,"MD",231,231,FALSE,0
2018,"MI",203,203,FALSE,0
2019,"MI",223,223,FALSE,0
2020,"MI",181,181,FALSE,0
2021,"MI",214,214,FALSE,0
2018,"MN",165,165,FALSE,0
2019,"MN",183,183,FALSE,0
2020,"MN",199,199,FALSE,0
2021,"MN",226,226,FALSE,0
