CTR_CD,CTR_TY,REGION,NAME_PART1,NAME_PART2,ENTIRE_NAME,PRIMARY_CITY,PRIMARY_STATE,PRIMARY_ZIP,PROVIDER_NUM,PRIMARY_PROVINCE,PRIMARY_CTRY,OPTN_MBR,ESRD_REGION,CTR_ID
ALAM,IT1: Hospital Based Lab,3,Transplant Evaluation Lab,Univ of South Alabama Med Ctr,USAMC Transplant Evaluation Lab,Mobile,AL,36617-2293,10087,,USA,0,,1
ALAM,TX1: Transplant Hospital,3,Univ of South Alabama Med Ctr,,University of South Alabama Medical Center,Mobile,AL,36617-2293,10087,,USA,0,8,2
ALBP,TX1: Transplant Hospital,3,Baptist Med Ctr Princeton,,Baptist Medical Center Princeton,Birmingham,AL,35211,10103,,USA,0,8,3
ALCH,TX1: Transplant Hospital,3,Children's of Alabama,,Children's of Alabama,Birmingham,AL,35233,13300,,USA,1,8,4
ALOB,OP1: Independent OPO,3,Legacy of Hope,Legacy of Hope,Legacy of Hope,Birmingham,AL,35233,01P001,,USA,1,,5
ALUA,IT1: Hospital Based Lab,3,Histo and Immuno Lab CTI at UAB,,Histocompatibility and Immunogenetics Laboratory CTI at UAB,Birmingham,AL,35233,10033,,USA,1,,6
ALUA,TX1: Transplant Hospital,3,Univ of Alabama Hospital,,University of Alabama Hospital,Birmingham,AL,35233,10033,,USA,1,8,7
ARBH,TX1: Transplant Hospital,3,Baptist Medical Center,,Baptist Medical Center,Little Rock,AR,72205,40114,,USA,1,13,8
ARCH,TX1: Transplant Hospital,3,Arkansas Children's Hospital,,Arkansas Children's Hospital,Little Rock,AR,72202,40117,,USA,1,13,9
AROR,OP1: Independent OPO,3,Arkansas Reg. Organ Recovery Agency,,Arkansas Regional Organ Recovery Agency,Little Rock,AR,72204,04P001,,USA,1,,10
ARUA,IT1: Hospital Based Lab,3,Tissue Typing Lab at UAMS Medical Ctr,,Tissue Typing Laboratory at UAMS Medical Center,Little Rock,AR,72202,04-HL01,,USA,1,,11
ARUA,TX1: Transplant Hospital,3,UAMS Medical Center,,UAMS Medical Center,Little Rock,AR,72205,40016,,USA,1,13,12
