OPO_CTR_CD,OPO_CTR_TY,PROVIDER_NUM,PROVIDER_MBR_TY,ALU_ID,HOSPITAL_NAME,HOSPITAL_ZIP,TIME_ZONE,LONGITUDE,LATITUDE,ACTIVE_FLG,CHG_DT
ALOB,OP1,10001,NMB,,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2,-85.36301,31.21588,1,9/25/18
ALOB,OP1,10005,NMB,,MARSHALL M.C. SOUTH,35957,2,-86.160899,34.221434,1,9/25/18
ALOB,OP1,10006,NMB,,NORTH ALABAMA MEDICAL CENTER-COFFEE,35630,2,-87.68496,34.79519,1,9/25/18
ALOB,OP1,10007,NMB,,MIZELL MEMORIAL HOSPITAL,36467,2,-86.25509,31.29215,1,10/7/20
ALOB,OP1,10008,NMB,,CRENSHAW COMMUNITY  HOSPITAL,36049,2,-86.26415905,31.69430814,1,10/7/20
ALOB,OP1,10009,NMB,,HARTSELLE MEDICAL CENTER,35640,2,-86.9391,34.4468,0,9/25/18
ALOB,OP1,10011,NMB,,St. Vincent's East,35235,2,-86.66767,33.59567,1,9/25/18
ALOB,OP1,10012,NMB,,DEKALB BMC,35968,2,-85.75730897,34.44060487,1,7/17/21
ALOB,OP1,10015,NMB,,SOUTHWEST MEDICAL,36784,2,-87.74813,31.892574,0,9/25/18
ALOB,OP1,10016,NMB,,SHELBY BAPTIST MEDICAL CENTER,35007,2,-86.810328,33.256089,1,9/25/18
ALOB,OP1,10018,NMB,,EYE FOUNDATION HOSPITAL,35233,2,-86.80262533,33.5043586,0,1/29/21
ALOB,OP1,10019,NMB,,HELEN KELLER MEMORIAL HOSPITAL,35660,2,-87.699697,34.748179,1,9/25/18
ALOB,OP1,10021,NMB,,DALE MEDICAL CENTER,36360,2,-85.63109,31.45182,1,3/18/20
ALOB,OP1,10022,NMB,,FLOYD CHEROKEE MEDICAL CENTER,35960,2,-85.64349969,34.16273131,1,9/25/18
ALOB,OP1,10023,NMB,,BAPTIST MEDICAL CENTER SOUTH (MONTGOMERY),36116,2,-86.27663655,32.32719907,1,9/25/18
ALOB,OP1,10024,NMB,,JACKSON HOSPITAL,36106,2,-86.284928,32.367081,1,9/25/18
ALOB,OP1,10025,NMB,,EAMC - LANIER MEMORIAL HOSPITAL,36854,2,-85.171778,32.825627,1,9/25/18
ALOB,OP1,10026,NMB,,CLOSED 1,36420,2,-86.5758,31.23708,0,9/25/18
ALOB,OP1,10027,NMB,,ELBA GENERAL HOSPITAL,36323,2,-86.0751,31.4169,0,9/25/18
ALOB,OP1,10028,NMB,,MARSHALL  M.C. NORTH,35976,2,-86.42127,34.36605,1,9/25/18
ALOB,OP1,10029,NMB,,EAST ALABAMA MEDICAL CENTER,36801,2,-85.40345,32.64044,1,9/25/18
ALOB,OP1,10031,NMB,,PHENIX REGIONAL HOSPITAL,36867,2,-85.01999,32.473217,0,9/25/18
ALOB,OP1,10032,NMB,,Tanner Medical Center,36278,2,-85.4800495,33.29660474,1,9/25/18
ALOB,OP1,10033,TX1,,UAB HOSPITAL/UAB HIGHLANDS,35233,2,-86.80284364,33.50600559,1,9/25/18
ALOB,OP1,10034,NMB,,"COMMUNITY HOSPITAL, INC",36078,2,-85.912363,32.534053,1,10/7/20
ALOB,OP1,10035,NMB,,CULLMAN REGIONAL MEDICAL CENTER,35058,2,-86.80377,34.20111,1,9/25/18
ALOB,OP1,10036,NMB,,ANDALUSIA REGIONAL HOSPITAL,36420,2,-86.492799,31.295354,1,3/14/20
ALOB,OP1,10038,NMB,,STRINGFELLOW MEMORIAL HOSPITAL,36207,2,-85.82468219,33.66770114,1,10/7/20
ALOB,OP1,10039,N01,,Madison Hospital,35758,2,-86.76531,34.74834,1,9/25/18
ALOB,OP1,10039,NMB,,HUNTSVILLE HOSPITAL /HUNTSVILLE HOSPITAL EAST/MADISON HOSP.,35801,2,-86.583031,34.721069,1,9/25/18
ALOB,OP1,10040,NMB,,GADSDEN REGIONAL MEDICAL CENTER,35903,2,-85.96773923,34.0093581,1,9/25/18
ALOB,OP1,10041,NMB,,NORTH MOBILE COMMUNITY HOSPITAL,36572,2,-88.056897,30.854788,0,9/25/18
ALOB,OP1,10044,NMB,,NORTH MISSISSIPPI MEDICAL CENTER HAMILTON,35570,2,-87.9898993,34.12673876,1,9/25/18
ALOB,OP1,10045,NMB,,FAYETTE MEDICAL CENTER,35555,2,-87.82376928,33.70774205,1,10/7/20
ALOB,OP1,10046,NMB,,RIVERVIEW REGIONAL MEDICAL CENTER,35901,2,-86.004511,34.003109,1,9/25/18
ALOB,OP1,10047,NMB,,GEORGIANA DOCTORS HOSPITAL,36033,2,-86.74308,31.63636,1,10/7/20
ALOB,OP1,10049,NMB,,MEDICAL CTR - ENTERPRISE,36330,2,-85.85515,31.31874,1,9/25/18
ALOB,OP1,10050,NMB,,St. Vincent's Blount,35121,2,-86.49274843,33.93237771,1,9/25/18
ALOB,OP1,10051,NMB,,GREENE COUNTY HOSPITAL,35462,2,-87.89001912,32.84240326,1,10/7/20
ALOB,OP1,10052,NMB,,LAKE MARTIN  HOSPITAL,36853,2,-85.74159463,32.81866786,1,10/7/20
ALOB,OP1,10053,NMB,,ATMORE COMMUNITY HOSPITAL,36502,2,-87.47851,31.01692,1,10/7/20
ALOB,OP1,10054,NMB,,DECATUR MORGAN HOSPITAL PARKWAY CAMPUS,35603,2,-87.01588,34.57679,1,9/25/18
ALOB,OP1,10055,NMB,,FLOWERS HOSPITAL,36305,2,-85.45711,31.2381,1,9/25/18
ALOB,OP1,10056,NMB,,ST. VINCENTS HOSPITAL,35205,2,-86.78886,33.50781,1,9/25/18
ALOB,OP1,10057,NMB,,ENTERPRISE NURSING HOME,36331,2,-85.854309,31.326065,0,9/25/18
ALOB,OP1,10058,NMB,,BIBB MEDICAL CENTER,35042,2,-87.1477018,32.95131214,1,10/7/20
ALOB,OP1,10059,NMB,,LAWRENCE BMC,35650,2,-87.28598179,34.48298625,1,10/7/20
ALOB,OP1,10060,NMB,,CLEBURNE COMMUNITY HOSP,36264,2,-85.584872,33.647368,0,9/25/18
ALOB,OP1,10061,NMB,,HIGHLANDS MEDICAL CENTER,35768,2,-86.04675071,34.66167684,1,9/25/18
ALOB,OP1,10062,NMB,,WIREGRASS HOSPITAL,36340,2,-85.89128,31.04902,1,10/7/20
ALOB,OP1,10064,NMB,,CARRAWAY METHODIST MEDICAL CENTER (CLOSED),35234,2,-86.802701,33.53596,0,9/25/18
ALOB,OP1,10065,NMB,,RUSSELL MEDICAL CENTER,35010,2,-85.96877753,32.9312974,1,10/7/20
ALOB,OP1,10066,NMB,,FLORALA MEMORIAL HOSPITAL,36442,2,-86.3258,31.0023,0,9/25/18
ALOB,OP1,10068,NMB,,HEALTHSOUTH METRO WEST MEDICAL CENTER (CLOSED),35064,2,-86.921329,33.478682,0,9/25/18
ALOB,OP1,10069,NMB,,MEDICAL CENTER BARBOUR,36027,2,-85.15617,31.88871,1,9/25/18
ALOB,OP1,10070,NMB,,MEDICAL PARK WEST,35218,2,-86.894499,33.504425,0,9/25/18
ALOB,OP1,10072,NMB,,COOSA VALLEY MEDICAL CENTER,35150,2,-86.253802,33.165474,1,9/25/18
ALOB,OP1,10073,NMB,,CLAY COUNTY HOSPITAL,36251,2,-85.82349382,33.27671773,1,10/7/20
ALOB,OP1,10078,NMB,,RMC Anniston,36207,2,-85.823594,33.656135,1,1/28/21
ALOB,OP1,10079,NMB,,ATHENS-LIMESTONE HOSPITAL,35611,2,-86.97837552,34.80359184,1,9/25/18
ALOB,OP1,10080,NMB,,LAMAR REGIONAL HOSPITAL,35592,2,-88.118153,33.753979,0,9/25/18
ALOB,OP1,10081,NMB,,BMC DOWNTOWN (CLOSED),36104,2,-86.330198,32.409628,0,9/25/18
ALOB,OP1,10083,NMB,,SOUTH BALDWIN HOSPITAL,36535,2,-87.68442,30.42579,1,9/25/18
ALOB,OP1,10084,NMB,,UAB HIGHLANDS,35205,2,-86.8048,33.4967,0,9/25/18
ALOB,OP1,10085,NMB,,DECATUR MORGAN HOSPITAL,35601,2,-86.970472,34.59061,1,9/25/18
ALOB,OP1,10086,NMB,,NORTHWEST MEDICAL CENTER,35594,2,-87.82443,33.93024,1,10/7/20
ALOB,OP1,10087,NMB,,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,36617,2,-88.098419,30.706989,1,9/25/18
ALOB,OP1,10089,NMB,,WALKER BAPTIST MEDICAL CENTER,35501,2,-87.236138,33.844378,1,1/28/21
ALOB,OP1,10090,NMB,,PROVIDENCE HOSPITAL,36608,2,-88.19924677,30.682067,1,9/25/18
ALOB,OP1,10091,NMB,,GROVE HILL MEMORIAL HOSPITAL,36451,2,-87.77706622,31.6947271,1,10/7/20
ALOB,OP1,10092,NMB,,DCH REGIONAL MEDICAL CENTER,35401,2,-87.52545,33.20521,1,9/25/18
ALOB,OP1,10094,NMB,,RUSSELLVILLE HOSPITAL,35653,2,-87.718525,34.51143,1,10/7/20
ALOB,OP1,10095,NMB,,HALE COUNTY  HOSPITAL,36744,2,-87.586925,32.69476497,1,10/7/20
ALOB,OP1,10096,NMB,,ABERNETHY MEMORIAL HOSPITAL,36441,2,-87.24354,31.04064,0,9/25/18
ALOB,OP1,10097,NMB,,ELMORE COMMUNITY  HOSPITAL,36092,2,-86.18701665,32.552265,1,10/7/20
ALOB,OP1,10098,NMB,,RANDOLPH COUNTY HOSPITAL,36274,2,-85.3729,33.1522,0,9/25/18
ALOB,OP1,10099,NMB,,D. W. MCMILLAN MEMORIAL HOSPITAL,36426,2,-87.07252348,31.12724674,1,1/27/22
ALOB,OP1,10100,NMB,,THOMAS HOSPITAL,36532,2,-87.88951141,30.51994504,1,9/25/18
ALOB,OP1,10101,NMB,,CITIZENS BMC,35160,2,-86.09088,33.43982497,1,9/25/18
ALOB,OP1,10102,NMB,,J PAUL JONES HOSPITAL,36726,2,-87.29950508,31.99810486,1,9/25/18
ALOB,OP1,10103,NMB,,PRINCETON BAPTIST MEDICAL CENTER,35211,2,-86.84632,33.49853,1,9/25/18
ALOB,OP1,10103,TX1,,Princeton Baptist Medical Center,35211,2,-86.862639,33.473968,0,9/25/18
ALOB,OP1,10104,NMB,,GRANDVIEW MEDICAL CENTER,35243,2,-86.71695,33.433148,1,9/25/18
ALOB,OP1,10108,NMB,,PRATTVILLE BAPTIST HOSPITAL,36067,2,-86.45178,32.46417,1,10/7/20
ALOB,OP1,10109,NMB,,PICKENS COUNTY MEDICAL CENTER,35447,2,-88.08963066,33.27470169,1,10/7/20
ALOB,OP1,10110,NMB,,BULLOCK COUNTY  HOSPITAL,36089,2,-85.71700979,32.14623083,1,10/7/20
ALOB,OP1,10111,TX1,,UNKNOWN,,,,,0,3/8/18
ALOB,OP1,10112,NMB,,WHITFIELD REGIONAL HOSPITAL,36732,2,-87.83911815,32.50274326,1,1/28/21
ALOB,OP1,10113,NMB,,MOBILE INFIRMARY MEDICAL CENTER,36607,2,-88.07934,30.69575,1,9/25/18
ALOB,OP1,10114,NMB,,MEDICAL CTR WEST,35022,2,-86.9904,33.37248,1,9/25/18
ALOB,OP1,10115,NMB,,RED BAY HOSPITAL,35582,2,-88.14716503,34.45751235,1,10/7/20
ALOB,OP1,10118,NMB,,VAUGHN REGIONAL MEDICAL CENTER,36701,2,-87.05588,32.4295,1,9/25/18
ALOB,OP1,10119,NMB,,USA CHILDREN'S & WOMEN'S HOSPITAL,36604,2,-88.07781,30.69755,1,9/25/18
ALOB,OP1,10120,NMB,,MONROE COUNTY HOSPITAL,36460,2,-87.31933105,31.49830925,1,10/7/20
ALOB,OP1,10121,NMB,,VAUGHN REGIONAL MEDICAL CENTER,36701,2,-87.027314,32.413447,0,9/25/18
ALOB,OP1,10122,NMB,,RUSH HOSP BUTLER INC,36904,2,-88.222286,32.091455,0,9/25/18
ALOB,OP1,10123,NMB,,FLORENCE HOSPITAL,35630,2,-87.658805,34.819157,0,9/25/18
ALOB,OP1,10124,NMB,,NORTH ALABAMA MEDICAL CENTR - SHOALS,35661,2,-87.67607,34.74704,1,9/25/18
ALOB,OP1,10125,NMB,,LAKELAND HOSPITAL,35565,2,-87.59093412,34.24111812,1,10/7/20
ALOB,OP1,10126,NMB,,TROY REGIONAL MEDICAL CENTER,36081,2,-85.94582543,31.78040136,1,10/7/20
ALOB,OP1,10127,NMB,,HUMANA HOSPITAL HUNTSVILLE,35801,2,-86.566317,34.725222,0,9/25/18
ALOB,OP1,10128,NMB,,JACKSON MEDICAL CENTER,36545,2,-87.89546,31.531678,1,10/7/20
ALOB,OP1,10129,NMB,,NORTH BALDWIN HOSPITAL,36507,2,-87.78315343,30.9019653,1,10/7/20
ALOB,OP1,10130,NMB,,ST. VINCENTS-ST. CLAIR,35125,2,-86.30159,33.60445,1,9/25/18
ALOB,OP1,10131,NMB,,CRESTWOOD MEDICAL CENTER,35801,2,-86.57181,34.69281,1,9/25/18
ALOB,OP1,10134,NMB,,WASHINGTON CO INFIRMARY,36518,2,-88.23513944,31.46017819,1,10/7/20
ALOB,OP1,10137,NMB,,COOPER GREEN HOSPITAL,35233,2,-86.8029,33.5098,0,9/25/18
ALOB,OP1,10138,NMB,,HILL HOSP OF SUMTER COUNTY,36925,2,-88.29589411,32.49158381,1,9/25/18
ALOB,OP1,10139,NMB,,BROOKWOOD MEDICAL CENTER,35209,2,-86.77668,33.46347,1,9/25/18
ALOB,OP1,10143,NMB,,WOODLAND COMMUNITY HOSPITAL,35055,1,-86.8436,34.174,0,9/25/18
ALOB,OP1,10144,NMB,,SPRINGHILL MEMORIAL HOSPITAL,36608,2,-88.13181024,30.68581099,1,9/25/18
ALOB,OP1,10145,NMB,,NORTHPORT MEDICAL CENTER,35476,2,-87.57124,33.23361,1,10/15/18
ALOB,OP1,10146,NMB,,REGIONAL MEDICAL CENTER JACKSONVILLE,36265,2,-85.763243,33.784822,1,9/25/18
ALOB,OP1,10148,NMB,,EVERGREEN MEDICAL CENTER,36401,2,-86.94135313,31.43106988,1,10/7/20
ALOB,OP1,10149,NMB,,BAPTIST MEDICAL CENTER EAST,36117,2,-86.17456,32.3762,1,9/25/18
ALOB,OP1,01014F,NMB,,VA HOSPITAL - BIRMINGHAM,35233,2,-86.80120662,33.50503247,1,9/25/18
ALOB,OP1,10150,NMB,,Regional Medical Center of Central Alabama,36037,2,-86.6467,31.82939,1,2/25/19
ALOB,OP1,10152,NMB,,INFIRMARY WEST,36693,2,-88.1564,30.6317,0,9/25/18
ALOB,OP1,10153,NMB,,D C H REHABILITATION PAVILION,35476,2,-87.57124,33.23361,0,1/28/21
ALOB,OP1,10168,NMB,,JACK HUGHSTON MEMORIAL HOSPITAL,36867,2,-85.00582089,32.50918299,1,10/7/20
ALOB,OP1,01016F,NMB,,LYSTER ARMY HOSPITAL,36360,2,-85.646911,31.443324,0,9/25/18
ALOB,OP1,10170,NMB,,Noland Hospital Shelby,35007,2,-86.810328,33.256089,1,9/25/18
ALOB,OP1,10171,NMB,,Choctaw General Hospital,36904,2,-88.21002219,32.09685495,1,9/25/18
ALOB,OP1,01019F,NMB,,Central Alabama Veterans HCS West - (Montgomery),36109,2,-86.243182,32.376992,1,9/25/18
ALOB,OP1,01020F,NMB,,US AIR FORCE HOSPITAL,36112,2,-86.29998,32.36658,0,9/25/18
ALOB,OP1,01021F,NMB,,VA HOSPITAL - TUSCALOOSA,35404,2,-87.485952,33.191284,1,10/7/20
ALOB,OP1,01022F,NMB,,Central Alabama Veterans HCS East (Tuskegee),36083,2,-85.70839401,32.43703969,1,9/25/18
ALOB,OP1,12006,NMB,,Infirmary Long Term Acute Care Hospital,36607,2,-88.07934,30.69575,1,9/25/18
ALOB,OP1,12007,NMB,,NOLAND HOSPITAL OF MONTGOMERY,36106,2,-86.284928,32.367081,1,9/25/18
ALOB,OP1,12008,NMB,,SELECT SPECIALTY HOSP-BIRMINGHAM,35213,2,-86.77668,33.46347,1,10/7/20
ALOB,OP1,12009,NMB,,NOLAND HOSPITAL BIRMINGHAM,35235,2,-86.66767,33.59567,1,9/25/18
ALOB,OP1,12010,NMB,,NOLAND HOSPITAL DOTHAN,36301,2,-85.363008,31.215884,1,9/25/18
ALOB,OP1,12011,NMB,,NOLAND HOSPITAL ANNISTON,36207,2,-85.82318523,33.65714497,1,9/25/18
ALOB,OP1,12012,NMB,,NOLAND HOSPITAL TUSCALOOSA,35401,2,-87.52545,33.20521,1,9/25/18
ALOB,OP1,13025,NMB,,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,35209,2,-86.78432803,33.46843093,1,9/25/18
ALOB,OP1,13027,NMB,,MERCY MEDICAL,36526,2,-87.90741417,30.61292299,1,10/7/20
ALOB,OP1,13028,NMB,,ENCOMPASS HEALTH REHAB HOSP OF MONTGOMERY,36116,2,-86.28064,32.31915,1,9/25/18
ALOB,OP1,13029,NMB,,ENCOMPASS HEALTH REHAB HOSP OF NORTH ALA,35801,2,-86.57886925,34.72013666,1,9/25/18
ALOB,OP1,13030,NMB,,ENCOMPASS HEALTH REHAB HOSP OF DOTHAN,36301,2,-85.36565,31.21788,1,9/25/18
ALOB,OP1,13032,NMB,,ENCOMPASS HEALTH REHAB HOSP OF GADSDEN,35903,2,-85.968664,34.007155,1,9/25/18
ALOB,OP1,13033,NMB,,REGIONAL REHABILITATION HOSPITAL,36867,2,-85.046417,32.498842,1,10/7/20
ALOB,OP1,13300,NMB,,CHILDRENS HOSPITAL OF ALABAMA,35233,2,-86.80521,33.50409,1,9/25/18
ALOB,OP1,14002,NMB,,CHARTER SOUTHLAND HOSPITAL,36609,2,-88.171305,30.646418,0,9/25/18
ALOB,OP1,14005,NMB,,GREIL MEMORIAL PSYCHIATRIC HOSP,36107,2,-86.278,32.3764,0,9/25/18
ALOB,OP1,14007,NMB,,BRYCE HOSPITAL,35404,2,-87.51648738,33.20888436,0,1/29/21
ALOB,OP1,14008,NMB,,SEARCY HOSPITAL ACUTE CARE ADMISS UNIT,36560,2,-88.0531,31.0694,0,9/25/18
ALOB,OP1,14011,NMB,,TAYLOR HARDIN SECURE MEDICAL FACILITY,35404,2,-87.51865,33.2207,1,10/7/20
ALOB,OP1,14012,NMB,,MARY S HARPER GERIATRIC PSYCHIATRY CTR,35401,2,-87.53749973,33.20808167,1,9/25/18
ALOB,OP1,01OP01,NMB,,ALABAMA ORGAN CENTER,35294,2,-86.807875,33.510109,0,9/25/18
ALOB,OP1,01XXXX,N01,,St. Vincent's Chilton,35045,2,-86.62348646,32.87667708,1,9/25/18
ALOB,OP1,01XXXX,NMB,,North Alabama Speciality Hospital,35611,2,-86.97837552,34.80359184,1,9/25/18
ALOB,OP1,30024,TX1,,ST JOSEPHS HOSP MED CTR,85013,3,-112.080552,33.482122,0,9/25/18
ALOB,OP1,40022,NMB,,SPRINGDALE MEM HOSPITAL,72764,2,-94.13705,36.1802,0,9/25/18
ALOB,OP1,100023,NMB,,CITRUS MEMORIAL HOSPITAL,34452,2,-82.33586,28.8331,0,9/25/18
ALOB,OP1,100122,NMB,,NORTH OKALOOSA MEDICAL CENTER,32539,2,-86.5617,30.73539,0,9/25/18
ALOB,OP1,100223,NMB,,HUMANA HOSP OF FORT WALTON BEACH,32547,2,-86.63362,30.45447,0,9/25/18
ALOB,OP1,100231,NMB,,WEST FLORIDA REGIONAL MEDICAL CENTER,32514,1,-87.21856,30.51623,0,9/25/18
ALOB,OP1,190036,TX1,,OCHSNER FOUNDATION HOSPITAL,70121,2,-90.145897,29.961685,0,9/25/18
ALOB,OP1,250004,NMB,,NORTH MISSISSIPPIS MEDICAL CENTER,38801,2,-88.71757767,34.24294695,0,9/25/18
ALOB,OP1,250040,NMB,,SINGING RIVER HOSP ITAL,39581,2,-88.53112,30.37649,0,9/25/18
ALOB,OP1,250078,NMB,,FORREST GENERAL HOSPITAL,39404,2,-89.32784384,31.31793512,0,9/25/18
ALOB,OP1,999999,NMB,,UNKNOWN,,,,,0,3/8/18
AROR,OP1,10089,NMB,,"WALKER REGIONAL MED CTR, INC",35501,2,-87.236138,33.844378,0,9/25/18
AROR,OP1,30024,TX1,,ST JOSEPHS HOSP MED CTR,85013,,-112.080552,33.482122,0,9/25/18
AROR,OP1,30064,TX1,,UNIVERSITY MEDICAL CTR CORP,85724,,-110.946169,32.240804,0,9/25/18
AROR,OP1,40001,NMB,,SSRH-Siloam Springs Regional Hospital,72761,2,-94.50773,36.18999,1,9/25/18
AROR,OP1,40002,NMB,,JORM-Johnson Regional Medical Center,72830,2,-93.44594986,35.46437887,1,9/25/18
AROR,OP1,40003,NMB,,SVMO - St. Vincent's Morrillton,72110,2,-92.72008499,35.16918715,1,9/25/18
AROR,OP1,40004,NMB,,WRMC-Washington Regional Medical Center,72701,2,-94.15814,36.10948,1,9/25/18
AROR,OP1,40007,NMB,,SVMC-St. Vincent Infirmary Medical Center,72205,2,-92.33739223,34.7518537,1,9/25/18
AROR,OP1,40010,NMB,,MHNW-Mercy Hospital NWA (Rogers),72758,2,-94.181359,36.306975,1,9/25/18
AROR,OP1,40011,NMB,,CHMH-Chambers Memorial Hospital,72833,2,-93.38849747,35.05491639,1,9/25/18
AROR,OP1,40014,NMB,,CENTRAL ARKANSAS GENERAL HOSP,72143,2,-91.84926,35.25228,0,9/25/18
AROR,OP1,40015,NMB,,MEMC-Mena Regional Health System,71953,2,-94.22164,34.58905,1,9/25/18
AROR,OP1,40016,TX1,,ARUA-UAMS The University Hospital of Arkansas,72205,2,-92.32083975,34.75152286,1,9/25/18
AROR,OP1,40017,NMB,,NAMC-North Arkansas Regional Medical Center,72601,2,-93.10918,36.23648,1,5/15/19
AROR,OP1,40018,NMB,,BHVB-Baptist Health Medical Center/Van Buren,72956,2,-94.338682,35.435179,1,11/12/18
AROR,OP1,40019,NMB,,BAPTIST MEMORIAL HOSPITAL,72335,,-90.779018,35.026145,0,9/25/18
AROR,OP1,40021,NMB,,SOUTHWEST REGIONAL MEDICAL CENTER,72209,2,-92.362416,34.672097,0,9/25/18
AROR,OP1,40022,N01,,NWBC-Northwest Medical Center of Bentonville,72712,2,-94.19112,36.34038,1,9/25/18
AROR,OP1,40022,NMB,,NWMC-Northwest Medical Center of Springdale,72764,2,-94.13705,36.1802,1,9/25/18
AROR,OP1,40024,NMB,,ACMC-Ashley County Medical Center,71635,2,-91.93946555,33.13764337,1,11/19/18
