NAME,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,FY 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CATEGORY:, SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,,
,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL TOTAL,TRIBAL TOTAL,I.H.S. TOTAL,
1. Audiology Evaluations and Hearing Aids ,0,0,0,0,0,0,0,62,62,28,2,30,0,9,9,48,0,48,1,4,5,380,210,590,1,884,885,0,0,0,40,49,89,0,0,0,498,"1,220","1,718",
"2. Allergy Testing, Injections, etc.",0,0,0,0,0,0,0,20,20,13,0,13,0,8,8,19,0,19,0,19,19,19,97,116,106,121,227,0,1,1,0,15,15,0,0,0,157,281,438,
3. Antenatal screening ,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,4,4,0,9,9,0,0,0,0,0,0,0,22,22,0,0,0,0,55,55,
4. Dental Hygiene (Teeth Cleaning),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,1,214,215,0,0,0,0,247,247,0,0,0,1,467,468,
5. Family Planning Services: Vasectomies,0,0,0,0,0,0,0,1,1,1,7,8,0,0,0,3,0,3,0,0,0,0,0,0,0,121,121,0,0,0,3,3,6,0,0,0,7,132,139,
Family Planning Services: Tubal Ligations,0,0,0,0,0,0,3,2,5,4,4,8,0,0,0,3,0,3,0,0,0,0,0,0,0,27,27,0,0,0,13,2,15,0,0,0,23,35,58,
6. Mammograms,0,0,0,0,0,0,0,0,0,50,0,50,0,236,236,2,0,2,9,72,81,234,68,302,0,7,7,0,0,0,0,71,71,0,0,0,295,454,749,
7. Podiatry Care for Diabetics,0,0,0,0,0,0,0,20,20,11,0,11,0,40,40,15,0,15,0,1,1,629,81,710,0,"1,026","1,026",0,0,0,0,12,12,0,0,0,655,"1,180","1,835",
8. Physical Therapy,0,0,0,0,0,0,1,23,24,58,0,58,0,169,169,84,0,84,0,11,11,797,61,858,7,55,62,0,0,0,0,122,122,0,0,0,947,441,"1,388",
9. Pap Smears,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,0,0,0,0,19,19,0,52,52,0,1,1,0,0,0,0,61,61,0,0,0,3,135,138,
