NAME,,PRC Deferrals - Acute and Chronic Primary and Secondary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,,FY 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY:,,SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal TOTAL,Tribal TOTAL,TOTAL
,,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,
,,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,,,
 l. Cardiac ,a. cardiac cath,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,7 ,32 ,39 ,285 ,8 ,293 ,0 ,0 ,0 ,0 ,5 ,5 ,0 ,0 ,0 ,292 ,48 ,340 
    Procedures,b. arteriogram,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,9 ,0 ,1 ,1 ,0 ,0 ,0 ,84 ,0 ,84 ,0 ,0 ,0 ,0 ,4 ,4 ,0 ,0 ,0 ,93 ,5 ,98 
,c angioplasty,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,73 ,0 ,73 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,73 ,3 ,76 
,d. angiogram,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,100 ,0 ,100 ,0 ,0 ,0 ,0 ,14 ,14 ,0 ,0 ,0 ,100 ,15 ,115 
,"e. other (echo's, Holters)",0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,41 ,0 ,41 ,0 ,0 ,0 ,77 ,0 ,77 ,4 ,12 ,16 ,23 ,40 ,63 ,25 ,"1,477 ","1,502 ",0 ,0 ,0 ,0 ,80 ,80 ,0 ,0 ,0 ,171 ,"1,609 ","1,780 "
,f. stress tests,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,12 ,0 ,0 ,0 ,10 ,0 ,10 ,1 ,7 ,8 ,138 ,82 ,220 ,24 ,7 ,31 ,0 ,1 ,1 ,0 ,17 ,17 ,0 ,0 ,0 ,185 ,114 ,299 
(Great Plains)----->,g. Cardiology Consults,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,19 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,19 
 2. Dental ,a. orthodontics (braces),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,2 ,0 ,2 ,0 ,9 ,9 ,0 ,240 ,240 ,184 ,106 ,290 ,901 ,"1,200 ","2,101 ","1,091 ","1,556 ","2,647 "
     Procedures,"b. prosthodontics-bridges,dentures",0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,4 ,6 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,763 ,0 ,763 ,0 ,"1,569 ","1,569 ",0 ,42 ,42 ,0 ,36 ,36 ,"1,228 ",0 ,"1,228 ","1,999 ","1,651 ","3,650 "
