TABLE 5,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,
,,FY 2016,,,,,
IHS AREA:,,,,,,,
(A),,(B),(C),(D),(E),(F),(G)
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Albuquerque Area Federal,,,,,,
TABLE 5,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,
,,FY 2016,,,,,
IHS AREA:,,,,,,,
(A),,(B),(C),(D),(E),(F),(G)
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
,No Note for Albuquerque Area,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Bemidji Area Federal,,,,,,
TABLE 5,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,
,,FY 2016,,,,,
IHS AREA:,,,,,,,
(A),,(B),(C),(D),(E),(F),(G)
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
,,,,,,,
,Billing Area Federal,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,California Area No Federal,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Great Plains Area Federal,,,,,,
TABLE 5,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,
,,FY 2016,,,,,
IHS AREA:,,,,,,,
(A),,(B),(C),(D),(E),(F),(G)
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
,,,,,,,
,,,,,,,
,Nashville Area Federal,,,,,,
,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,
,,FY 2016,,,,,
,,,,,,,
(A),,(B),(C),(D),(E),(F),(G)
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status
1,N/A,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
,,,,,,,
,,,,,,,
,Navajo Area Federal,,,,,,
TABLE 5,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,
,,FY 2016,,,,,
IHS AREA:,,,,,,,
(A),,(B),(C),(D),(E),(F),(G)
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Oklahoma Area Federal,,,,,,
TABLE 5,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,
,,FY 2016,,,,,
IHS AREA:,,,,,,,
(A),,(B),(C),(D),(E),(F),(G)
