NAME,,PRC Deferrals - Acute and Chronic Primary and Secondary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,,FY 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY:,,SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal TOTAL,Tribal TOTAL,TOTAL
,,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,
,,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,,,
 l. Cardiac ,a. cardiac cath,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,5 ,1 ,0 ,1 ,62 ,30 ,92 ,43 ,5 ,48 ,0 ,0 ,0 ,0 ,20 ,20 ,0 ,0 ,0 ,111 ,55 ,166 
    Procedures,b. arteriogram,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24 ,0 ,24 ,0 ,0 ,0 ,1 ,0 ,1 ,27 ,0 ,27 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,52 ,0 ,52 
,c angioplasty,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,24 ,0 ,24 ,0 ,0 ,0 ,0 ,4 ,4 ,0 ,0 ,0 ,31 ,4 ,35 
,d. angiogram,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,2 ,0 ,2 ,0 ,0 ,0 ,2 ,0 ,2 ,15 ,0 ,15 ,0 ,0 ,0 ,0 ,38 ,38 ,0 ,0 ,0 ,19 ,39 ,58 
,"e. other (echo's, Holters)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,12 ,0 ,8 ,8 ,80 ,0 ,80 ,3 ,0 ,3 ,6 ,129 ,135 ,17 ,577 ,594 ,0 ,0 ,0 ,0 ,183 ,183 ,0 ,0 ,0 ,118 ,897 ,"1,015 "
,f. stress tests,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2 ,2 ,13 ,0 ,13 ,0 ,0 ,0 ,36 ,300 ,336 ,62 ,10 ,72 ,0 ,0 ,0 ,0 ,47 ,47 ,0 ,0 ,0 ,113 ,359 ,472 
(Great Plains)----->,g. Cardiology Consults,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,12 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,12 
 2. Dental ,a. orthodontics (braces),0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,5 ,37 ,0 ,37 ,0 ,4 ,4 ,4 ,0 ,4 ,5 ,0 ,5 ,1 ,0 ,1 ,1 ,16 ,17 ,0 ,0 ,0 ,0 ,192 ,192 ,0 ,"1,764 ","1,764 ",53 ,"1,976 ","2,029 "
     Procedures,"b. prosthodontics-bridges,dentures",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,991 ,0 ,991 ,0 ,"1,568 ","1,568 ",0 ,0 ,0 ,0 ,92 ,92 ,0 ,"2,751 ","2,751 ",992 ,"4,411 ","5,403 "
,c. endodontics (root canal),0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,12 ,28 ,0 ,28 ,0 ,20 ,20 ,0 ,0 ,0 ,6 ,0 ,6 ,94 ,0 ,94 ,0 ,15 ,15 ,0 ,0 ,0 ,0 ,90 ,90 ,0 ,"1,563 ","1,563 ",140 ,"1,688 ","1,828 "
,d. periodontics (gum surgery),0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,10 ,0 ,0 ,0 ,6 ,10 ,16 
,e. oral surgery,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,35 ,0 ,35 ,0 ,15 ,15 ,2 ,0 ,2 ,9 ,0 ,9 ,13 ,0 ,13 ,1 ,12 ,13 ,0 ,0 ,0 ,0 ,231 ,231 ,0 ,0 ,0 ,61 ,258 ,319 
,f. other ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,10 ,0 ,10 ,0 ,10 ,10 ,2 ,0 ,2 ,3 ,0 ,3 ,121 ,0 ,121 ,3 ,7 ,10 ,0 ,0 ,0 ,0 ,16 ,16 ,0 ,0 ,0 ,141 ,33 ,174 
 3. ENT Services,a. non-acute otitis media,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,4 ,0 ,4 ,1 ,0 ,1 ,11 ,0 ,11 ,207 ,0 ,207 ,0 ,0 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,224 ,3 ,227 
,b. tympanoplasties,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,81 ,0 ,81 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83 ,0 ,83 
,c. T&As,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,2 ,0 ,2 ,0 ,2 ,2 ,4 ,0 ,4 ,0 ,0 ,0 ,5 ,0 ,5 ,98 ,2 ,100 ,0 ,0 ,0 ,0 ,11 ,11 ,0 ,0 ,0 ,111 ,15 ,126 
,d. septo-rhinoplasties,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,11 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,3 ,0 ,3 ,16 ,0 ,16 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32 ,0 ,32 
,e. P E tubes,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,10 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,37 ,0 ,37 ,0 ,0 ,0 ,0 ,19 ,19 ,0 ,0 ,0 ,38 ,29 ,67 
