,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2018,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Federal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,Alaska, -   , -   , -   , -   , -   , -   , -   , -   , -   ,OKAY,
2,Albuquerque, 290 ," 11,261 "," 2,219 "," 1,173 ", 124 ," 1,671 ", 104 , 410 ," 17,252 ",OKAY,
3,Bemidji, 52 ," 1,026 ", 44 ," 1,448 ", 90 , 338 , -   , -   ," 2,998 ",OKAY,
4,Billing," 3,511 "," 14,969 ", 482 , 139 , 470 ," 2,675 ", 137 , 45 ," 22,428 ",OKAY,
5,California, -   , -   , -   , -   , -   , -   , -   , -   , -   ,OKAY,
6,Great Plains," 3,526 "," 21,136 "," 1,302 "," 2,667 ", -   ," 9,343 ", -   , -   ," 37,974 ",OKAY,
7,Nashville, 50 , 142 , 34 , 142 , 104 , 5 , 15 , 29 , 521 ,OKAY,
8,Navajo, 932 ," 25,710 ", 355 ," 1,095 ", -   , 529 ," 1,059 ", 161 ," 29,841 ",OKAY,
9,Oklahoma," 7,626 ", 776 ," 2,095 "," 2,122 ", 23 , 360 , 81 , 94 ," 13,177 ",OKAY,
10,Phoenix, 244 ," 15,115 ", 244 , 485 , -   ," 5,967 ", -   , 43 ," 22,098 ",OKAY,
11,Portland, 19 , 60 , 11 , 167 , -   , 27 , -   , -   , 284 ,OKAY,
12,Tucson, -   , -   , -   , -   , -   , -   , -   , -   , -   ,OKAY,
  Federal Sub Total ,," 16,250 "," 90,195 "," 6,786 "," 9,438 ", 811 ," 20,915 "," 1,396 ", 782 ," 146,573 ",,
1,Alaska, -   , -   , -   , -   , -   , -   , -   , -   , -   ,OKAY,
2,Albuquerque, -   , -   , -   , -   , -   , -   , -   , -   , -   ,OKAY,
3,Bemidji, 55 , 27 , 14 , 366 , 3 , 17 , 3 , 35 , 520 ,OKAY,
4,Billing, -   , -   , -   , -   , -   , -   , -   , -   , -   ,OKAY,
5,California," 1,950 "," 3,879 "," 1,112 ", 743 , 230 , 421 , 40 ," 1,149 "," 9,524 ",OKAY,
6,Great Plains, -   , -   , -   , -   , -   , -   , -   , -   , -   ,OKAY,
7,Nsshville, -   , -   , -   , -   , -   , -   , -   , -   , -   ,OKAY,
8,Navajo," 5,517 "," 16,903 ", 450 ," 1,170 ", 199 ," 1,311 ", 490 ," 2,524 "," 28,564 ",OKAY,
9,Oklahoma," 3,791 ", 635 , 572 , 628 , 165 ," 2,052 "," 2,017 "," 2,842 "," 12,702 ",OKAY,
10,Phoenix, 120 ," 10,459 ", 456 ," 1,513 "," 1,665 "," 2,612 ", 77 ," 1,222 "," 18,124 ",OKAY,
11,Portland, 21 , 293 , 915 , 38 , 184 , 3 , 42 , 66 ," 1,562 ",OKAY,
12,Tucson, 22 ," 11,001 ", 54 , 155 , -   , 945 , -   , 4 ," 12,181 ",OKAY,
  Tribal Sub Total ,," 11,476 "," 43,197 "," 3,573 "," 4,613 "," 2,446 "," 7,361 "," 2,669 "," 7,842 "," 83,177 ",,
I.H.S. OFFICES TOTAL,," 27,726 "," 133,392 "," 10,359 "," 14,051 "," 3,257 "," 28,276 "," 4,065 "," 8,624 "," 229,750 ",,
,,,,,   ,,,,,,,
,,,,,,,,,,,,
,Albuquerque Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2018,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Albuquerque Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 31 ," 2,500 ", 163 , 213 , 122 , 23 , 87 , -   ," 3,139 ",,
2,(b) (6) ,194," 3,231 ",1869,583, -   , -   , -   ,410," 6,287 ",,
3,(b) (6) ,10," 1,338 ",41,261, -   ,112, -   , -   ," 1,762 ",,
4,(b) (6) ,20, 155 ,68,24, -   ,3, -   , -   , 270 ,,
5,(b) (6) ,16, 13 ,15,3, -   ,1058, -   , -   ," 1,105 ",,
6,(b) (6) ,4," 1,024 ",7,23, -   ,122, -   , -   ," 1,180 ",,
7,(b) (6) ,11, 918 ,3,43, -   ,21, -   , -   , 996 ,,
8,(b) (6) ,4 ,"2,082 ",53 ,23 ,2 ,332 ,17 , -   ," 2,513 ",,
  Federal Sub Total ,,290 ,"11,261 ","2,219 ","1,173 ",124 ,"1,671 ",104 ,410 ,"17,252 ",OKAY,
1,None, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Albuquerque TOTAL ,,290 ,"11,261 ","2,219 ","1,173 ",124 ,"1,671 ",104 ,410 ,"17,252 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Bemidji Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2017,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Bemidji Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,Notes
1,(b) (6) , 4 , 321 , 34 , 65 , 90 , 144 , -   , -   , 658 ,,"RCIS: 160 total denials, 94 denials due to AR, 2 denials due to eligibility, 9 due to non-emergency care, 10 due to notifications, 44 due to residency, 1 not specified."
2,(b) (6) , -   , 142 , -   , 84 , -   , 6 , -   , -   , 232 ,,"RCIS: 175 total denials, 75 due to alternate resources, 3 due to notifications, 2 due to residency, 95 not specified"
