NAME,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,FY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CATEGORY:, SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,,,,,,,,,,,,,,,
,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL,TRIBAL,TOTAL,FEDERAL TOTAL,TRIBAL TOTAL,I.H.S. TOTAL,,,,,,,,,,,,,,
1. Audiology Evaluations and Hearing Aids ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,14 ,14 ,17 ,0 ,17 ,0 ,0 ,0 ,441 ,6 ,447 ,4 ,249 ,253 ,0 ,0 ,0 ,0 ,35 ,35 ,0 ,0 ,0 ,463 ,304 ,767 ,,,,,,,,,,,,,,
"2. Allergy Testing, Injections, etc.",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,18 ,0 ,1 ,1 ,5 ,0 ,5 ,12 ,0 ,12 ,51 ,0 ,51 ,37 ,129 ,166 ,0 ,0 ,0 ,0 ,82 ,82 ,0 ,0 ,0 ,123 ,212 ,335 ,,,,,,,,,,,,,,
3. Antenatal screening ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,23 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,68 ,68 ,0 ,0 ,0 ,23 ,69 ,92 ,,,,,,,,,,,,,,
4. Dental Hygiene (Teeth Cleaning),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,700 ",0 ,"1,700 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,320 ,320 ,0 ,0 ,0 ,"1,700 ",320 ,"2,020 ",,,,,,,,,,,,,,
5. Family Planning Services: Vasectomies,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,1 ,0 ,1 ,1 ,1 ,0 ,1 ,1 ,0 ,1 ,18 ,0 ,18 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,6 ,0 ,0 ,0 ,22 ,7 ,29 ,,,,,,,,,,,,,,
Family Planning Services: Tubal Ligations,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,5 ,3 ,0 ,3 ,0 ,2 ,2 ,6 ,0 ,6 ,0 ,0 ,0 ,31 ,0 ,31 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,45 ,5 ,50 ,,,,,,,,,,,,,,
6. Mammograms,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,13 ,0 ,13 ,0 ,2 ,2 ,29 ,1 ,30 ,1 ,0 ,1 ,210 ,492 ,702 ,19 ,72 ,91 ,0 ,0 ,0 ,0 ,120 ,120 ,0 ,0 ,0 ,276 ,687 ,963 ,,,,,,,,,,,,,,
7. Podiatry Care for Diabetics,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,2 ,0 ,2 ,0 ,1 ,1 ,2 ,0 ,2 ,0 ,0 ,0 ,381 ,0 ,381 ,6 ,17 ,23 ,0 ,0 ,0 ,0 ,9 ,9 ,0 ,0 ,0 ,392 ,27 ,419 ,,,,,,,,,,,,,,
8. Physical Therapy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,14 ,0 ,7 ,7 ,8 ,3 ,11 ,5 ,0 ,5 ,"2,076 ",0 ,"2,076 ",32 ,124 ,156 ,0 ,0 ,0 ,0 ,790 ,790 ,0 ,0 ,0 ,"2,135 ",924 ,"3,059 ",,,,,,,,,,,,,,
