TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2018,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Albuquerque Area Federal,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2018,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,(b) (6) ,,,,,,,
2,(b) (6) ,,,,,,,
3,(b) (6) ,,,,,,,
4,(b) (6) ,,,,,,,
5,(b) (6) ,,,,,,,
6,(b) (6) ,,,,,,,
7,(b) (6) ,,,,,,,
8,(b) (6) ,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,OKAY
,No Note for Albuquerque Area,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Bemidji Area Federal,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2018,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,(b) (6) ,(b) (6) ,1/1/2018,24,3,(b) (6) ,Determined to be close social and economic ties.,
2,(b) (6) ,None,,,,,,
3,(b) (6) ,None,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,Bemidji Area Tribal-None,,,,,,,
,,,,,,,,
,,,,,,,,
,Billing Area Federal,,,,,,,
,None for FY 2018,,,,,,,
,,,,,,,,
,,,,,,,,
,California Area No Federal and Tribal FY 2018,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Great Plains Area Federal and Tribal NONE FY 2018,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2018,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,Nashville Area Federal,,,,,,,
,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2018,,,,,,
,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,N/A,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,OKAY
,,,,,,,,
,,,,,,,,
,Navajo Area Federal and Tribal FY 2018 NONE,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2018,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"Oklahoma Area Federal, no Tribal report FY 2018",,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2018,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,None for OCAO in FY 2018,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,Phoenix Area Federal and Tribal FY 2018,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2018,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,Portland Area Federal and Tribal FY 2018,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2018,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,"Tucson Area Federal, also none for Tucson Tribal FY 2018",,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2018,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,FORMS,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2018,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
