TABLE 5,,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,,
,,FY 2019,,,,,,,
IHS AREA:,,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),,
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,(b) (6) 
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Albuquerque Area Federal,,,,,,,,
TABLE 5,,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,,
,,FY 2019,,,,,,,
IHS AREA:,,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),,
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,,
1,(b) (6) ,,,,,,,,
2,(b) (6) ,,,,,,,,
3,(b) (6) ,NONE,,,,,,,
4,(b) (6) ,,,,,,,,
5,(b) (6) ,No Changes,,,,,,,
6,(b) (6) ,,,,,,,,
7,(b) (6) ,,,,,,,,
8,(b) (6) ,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
,No Note for Albuquerque Area,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Bemidji Area Federal,,,,,,,,
TABLE 5,,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,,
,,FY 2019,,,,,,,
IHS AREA:,,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),,
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,,
1,(b) (6) ,,,,,,,,
2,(b) (6) ,,,,,,,,
3,(b) (6) ,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
,,,,,,,,,
,Bemidji Area Tribal-None,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Billing Area Federal,,,,,,,,
,None for FY 2019,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,California Area No Federal and Tribal FY 2019,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Great Plains Area Federal and Tribal NONE FY 2019,,,,,,,,
TABLE 5,,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,,
,,FY 2019,,,,,,,
IHS AREA:,,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),,
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
