TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2021,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,   ,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Albuquerque Area Federal,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2021,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,(b) (6) ,,,,,,,
2,(b) (6) ,,,,,,,
3,(b) (6) ,,,,,,,
4,(b) (6) ,,,,,,,
5,(b) (6) ,,,,,,,
6,(b) (6) ,,,,,,,
7,(b) (6) ,N/A,,,,,,
8,(b) (6) ,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,"Change: (b) (6)  changed to (b) (6)  on February 17, 2022. On March 1, 2021 the (b) (6)  opted to become a 638 Health Center and their shares were released to them.",,,,,,,
,(b) (6)  - No Changes to Service Delivery Area,,,,,,,
,,,,,,,,
,,,,,,,,
,Bemidji Area Federal,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2021,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,Bemidji Area Tribal-None,,,,,,,
,,,,,,,,
,,,,,,,,
,Billing Area Federal,,,,,,,
,None for FY 2021,,,,,,,
,,,,,,,,
,,,,,,,,
,California Area No Federal and Tribal FY 2021,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Great Plains Area Federal and Tribal NONE FY 2021,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2021,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,Nashville Area Federal,,,,,,,
,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2021,,,,,,
,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,(b) (6) ,,,,,,,
2,(b) (6) ,,,,,,,
3,(b) (6) ,,,,,,,
4,(b) (6) ,,43951,352,NA,NA,"Pending review/approval at HQ, Indian Health Service.",
5,(b) (6) ,,,,,,,
6,(b) (6) ,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,Navajo Area Federal and Tribal FY 2021 NONE,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2021,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Oklahoma Area Federal-No report. Oklahoma Area Tribal 2 Tribes FY 2021,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2021,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,(b) (6) ,(b) (6) ,44470,decrease,none,,(b) (6) ,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,Phoenix Area Federal and Tribal FY 2021,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2021,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,Portland Area Federal and Tribal FY 2021,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2021,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,"Tucson Area Federal, also none for Tucson Tribal FY 2021",,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2021,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,FORMS,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2021,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
