ORAP/Division of Contract Care,,,,,,,
FY 2021 Purchased / Referred Care Unmet Need,,,,,,,
 as of 09/30/2021,,,,,,,
,,,,,,,
,,,,,,,
Total Estimated Unmet Need ,,,,,, ,
,Number,Amount,,,, ,
I. Denied Services,"26,053","$120,650,681 ",,,, ,
II. Deferred Services,"143,900","$666,395,572 ",,,, ,
Subtotal,"169,953","$787,046,253 ",,,, ,
III. CHEF Cases,0, $- ,,,, ,
TOTAL,"169,953","$787,046,253 ",,,, ,
,,,,,,,
,,,,,,,
,,,,,,,
I. Denied Services,,Data Reported,,Data Not Reported,,,
Services,"Average 
Cost per Claim",Number of Denied Services,Amount,Estimated Number of Denied Services*,Amount**,"Total Number of 
Denied Services","Total Cost of 
Denied Services"
Inpatient - 43%,"$9,580 ","6,419","$61,488,101 ","4,784","$45,831,192.16 ","11,203","$107,319,294 "
Outpatient - 44%,$422 ,"6,568","$2,773,222 ","4,895","$2,067,067.47 ","11,463","$4,840,289 "
Transportation - 13%,"$2,507 ","1,941","$4,864,936 ","1,446","$3,626,162.14 ","3,387","$8,491,098 "
Total,,"14,927","$69,126,259 ","11,126","$51,524,422 ","26,053","$120,650,681 "
,,,,,,,
,,,,,,,
,,,,,,,
"Denied
Methodology",Total Programs,"Number of 
Programs that Reported Data",Percent of Programs  that Reported Data,Percent of PRC Budget Accounted for ,"Apply Percent of
Data Reported",,
Federal PRC Programs,63,63,100%,38%,38%,,
Tribal PRC Programs,187,59,32%,62%,20%,,
,,Percent of Data Reported,,,57%,,
,,Percent of Data Not Reported,,,43%,,
*Estimated Number of Denied Services = (Reported Number of Denied Services / Percent of Data Reported) * (Percent of Data Not Reported),,,,,,,
**Cost for the Estimated Number of Denied Services = Average Cost per Claim (as provided by the FI) * Estimated Number of Denied Services,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
II. Deferred Services,,Data Reported,,Data Not Reported,,,
Services,"Average 
Cost per Claim",Number of Deferred Services,Amount,Estimated Number of Deferred Services*,Amount**,Total Number of Deferred Services,"Total Cost of 
Deferred Services"
Inpatient - 43%,"$9,580 ","35,452","$339,620,118.05 ","26,425","$253,141,575.68 ","61,877","$592,761,694 "
Outpatient - 44%,$422 ,"36,277","$15,317,465 ","27,039","$11,417,130.82 ","63,316","$26,734,596 "
Transportation - 13%,"$2,507 ","10,718","$26,870,730 ","7,989","$20,028,551.59 ","18,707","$46,899,282 "
Total,,"82,447","$381,808,314 ","61,453","$284,587,258 ","143,900","$666,395,572 "
,,,,,,,
,,,,,,,
 Deferred Methodology,Total Programs,Number of Programs that Reported Data,Percent of Programs Reported,"Percent of 
PRC Budget Accounted for",Apply Percent of Data Reported,,
Federal PRC Programs,63,63,100%,38%,37.61%,,
Tribal PRC Programs,187,59,32%,62%,20%,,
,,Percent of Data Reported,,,57%,,
,Percent of Data Not Reported,,,,43%,,
*Estimated Number of Deferred Services = (Reported Number of Deferred Services / Percent of Data Reported) * (Percent of Data Not Reported),,,,,,,
**Cost for the Estimated Number of Deferred Services = Average Cost per Claim (as provided by the FI) * Estimated Number of Denied Services,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
III. Catastrophic Health Emergency Fund (CHEF) Cases Reimbursed and Not Reimbursed,,,,,,,
Year,"CHEF 
Cases Reimbursed","Amount of CHEF 
Cases Reimbursed ","CHEF Cases 
Not Reimbursed",Cost for CHEF Cases Not Reimbursed ,,,
2021,526,"$18,305,038 ",0, $- ,,,
