Table 3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRC Deferrals - Acute Chronic Tertiary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal and Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total ,Total,I.H.S.
,Alaska,,,Albuquerque,,,Bemidji,,,Billing,,,California,,,Great Plains,,,Nashville,,,Navajo,,,Oklahoma,,,Phoenix,,,Portland,,,Tucson,,,Federal,Tribal,Total
,Federal,Tribal,Total,Federal,Tribal,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,Federal ,Tribal ,Total,,,
"1. Coronary bypass and valvular
    surgery", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , 2 , 2 , 4 , 1 , 5 , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 7 , 11 
2. Transplants , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , 3 , 3 , 5 , -   , 5 , -   , -   , -   , -   , 2 , 2 , 1 , 2 , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , 8 , 14 
3. Neurosurgery, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 25 , 17 , -   , 17 , -   , -   , -   , 15 , 1 , 16 , -   , 52 , 52 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32 , 78 , 110 
"4. Restorative orthopedic: joint-hip,
    knee replacements, other orthopedic", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , 8 , 1 , -   , 1 , -   , -   , -   , 35 , 68 , 103 , 64 , 8 , 72 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 100 , 84 , 184 
