"STATE_NAME","YEAR","RACE","DEATHS","POPULATION","DEATH_RATE","TRANSPLANTS","TRANSPLANT_RATE","DONORS","DONOR_RATE","WAITLIST_LISTINGS","LISTING_RATE","WAITLIST_SIZE","WAITLIST_SIZE_RATE","LISTING_DEATH_RATIO","TRANSPLANT_DEATH_RATIO","TRANSPLANT_LISTING_RATIO"
"National","2018","All Races",42838,327167434,13.0936014860208,7655,2.33978055407556,7274,2.22332642068526,12375,3.78246693098433,7439,2.27375931309838,0.288879032634577,0.178696484429712,0.618585858585859
"National","2018","American Indian or Alaska Native",1149,4147521,27.7032955348508,75,1.80830910801898,38,0.916209948062951,134,3.23084560632725,77,1.85653068423282,0.116623150565709,0.0652741514360313,0.559701492537313
"National","2018","Asian",671,19330600,3.47118040826462,331,1.71231105087271,174,0.900127259371153,583,3.01594363341024,394,2.03821919650709,0.868852459016393,0.493293591654247,0.567753001715266
"National","2018","Black or African American",3314,43804319,7.56546403563539,623,1.4222341865422,1341,3.06134196493273,915,2.08883512148654,503,1.14828859683905,0.276101388050694,0.187990343995172,0.680874316939891
"National","2018","More than one race",305,8946480,3.40916203914836,48,0.536523861898758,31,0.346504994142948,80,0.89420643649793,46,0.51416870098631,0.262295081967213,0.157377049180328,0.6
"National","2018","Native Hawaiian or Other Pacific Islander",46,799418,5.75418617043899,15,1.87636505557793,24,3.00218408892469,25,3.12727509262989,18,2.25163806669352,0.543478260869565,0.326086956521739,0.6
"National","2018","White",37353,250139096,14.9328915780522,6563,2.62374019293649,5666,2.2651397125062,10638,4.25283379132385,6401,2.55897622657116,0.28479640189543,0.175702085508527,0.61693927429968
"National","2019","All Races",44358,328239523,13.5139119124299,8303,2.52955522361029,7812,2.37996933720867,12707,3.87125836762808,8779,2.67457127641512,0.286464673790523,0.187181568150052,0.653419375147556
"National","2019","American Indian or Alaska Native",1146,4188092,27.3632957442196,88,2.10119548472192,35,0.83570274960531,130,3.10403878424829,92,2.1967043703911,0.113438045375218,0.0767888307155323,0.676923076923077
"National","2019","Asian",701,19504862,3.59397569693136,334,1.71239355602721,213,1.09203541147843,520,2.66600194351542,441,2.26097472517365,0.741797432239658,0.476462196861626,0.642307692307692
"National","2019","Black or African American",3477,44075086,7.88881047220192,609,1.38173298175754,1387,3.14690253809147,902,2.04650763472135,587,1.33181816139848,0.259419039401783,0.175150992234685,0.675166297117517
"National","2019","More than one race",292,9142356,3.19392506701774,53,0.579719275862808,50,0.546904977229064,83,0.907862262200247,55,0.601595474951971,0.284246575342466,0.181506849315068,0.63855421686747
"National","2019","Native Hawaiian or Other Pacific Islander",39,806937,4.83309105915332,21,2.6024336472364,18,2.23065741191692,25,3.09813529432905,20,2.47850823546324,0.641025641025641,0.538461538461538,0.84
"National","2019","White",38703,250522190,15.4489308911119,7198,2.87319857773876,6109,2.43850654506892,11047,4.40958942599057,7584,3.02727674542523,0.285430070020412,0.185980414954913,0.651579614374943
"National","2020","All Races",51642,329484123,15.6735928668709,8374,2.54154886850193,7897,2.39677709751131,12363,3.75222936007754,9218,2.79770688677463,0.239398164284884,0.162154835211649,0.677343686807409
"National","2020","American Indian or Alaska Native",1523,4292990,35.4764394978791,76,1.77032790665713,52,1.21127698876541,125,2.91172353068607,96,2.2362036715669,0.0820748522652659,0.0499015101772817,0.608
"National","2020","Asian",865,20012278,4.3223465114766,345,1.72394167220743,203,1.01437727379162,498,2.48847232683855,452,2.2586134372109,0.575722543352601,0.398843930635838,0.692771084337349
"National","2020","Black or African American",4140,44531112,9.29687091577682,613,1.37656566941333,1447,3.24941357853359,861,1.93347967596228,602,1.35186383847769,0.207971014492754,0.148067632850242,0.711962833914053
"National","2020","More than one race",370,9494326,3.89706441510435,52,0.54769553942007,26,0.273847769710035,65,0.684619424275088,47,0.495032506783525,0.175675675675676,0.140540540540541,0.8
