"STATE_NAME","YEAR","DEATHS","POPULATION","DEATH_RATE","TRANSPLANTS","TRANSPLANT_RATE","DONORS","DONOR_RATE","WAITLIST_LISTINGS","LISTING_RATE","WAITLIST_SIZE","WAITLIST_SIZE_RATE","LISTING_DEATH_RATIO","TRANSPLANT_DEATH_RATIO","TRANSPLANT_LISTING_RATIO"
"National","2018",42838,327167434,13.0936014860208,7655,2.33978055407556,7274,2.22332642068526,12375,3.78246693098433,7439,2.27375931309838,0.288879032634577,0.178696484429712,0.618585858585859
"National","2019",44358,328239523,13.5139119124299,8303,2.52955522361029,7812,2.37996933720867,12707,3.87125836762808,8779,2.67457127641512,0.286464673790523,0.187181568150052,0.653419375147556
"National","2020",51642,329484123,15.6735928668709,8374,2.54154886850193,7897,2.39677709751131,12363,3.75222936007754,9218,2.79770688677463,0.239398164284884,0.162154835211649,0.677343686807409
"National","2021",56585,329484123,17.1738169004277,8698,2.63988441106159,8156,2.47538483060685,13116,3.98076844510046,9653,2.92973145780381,0.231792877971194,0.153715649023593,0.663159499847514
"National","2018 - 2021",195423,1314375203,14.8681289447607,33030,2.51298106694425,31139,2.36911042820396,50561,3.8467706850066,35089,2.66963344408134,0.258725943210369,0.169017976389678,0.653270307153735
"Alabama","2018",762,4887871,15.5896094639159,119,2.43459780341993,125,2.55735063384447,204,4.17359623443417,112,2.29138616792464,0.267716535433071,0.156167979002625,0.583333333333333
"Alabama","2019",831,4903185,16.9481673646823,128,2.61054804173206,146,2.97765636010063,176,3.58950355738158,117,2.38620406939571,0.21179302045728,0.154031287605295,0.727272727272727
"Alabama","2020",966,4921532,19.6280345225836,97,1.97093100278531,146,2.96655594233665,126,2.56017841598917,93,1.88965549751581,0.130434782608696,0.100414078674948,0.76984126984127
"Alabama","2021",1043,4921532,21.1925879990214,72,1.46295909485095,167,3.39325234500152,180,3.65739773712738,141,2.86496156074978,0.172579098753595,0.0690316395014382,0.4
"Alaska","2018",121,737438,16.4081590587955,0,0,19,2.57648778609185,0,0,0,0,0,0,NA
"Alaska","2019",110,731545,15.0366689677327,0,0,26,3.55412175600954,0,0,0,0,0,0,NA
"Alaska","2020",167,731158,22.8404804433515,0,0,20,2.73538687944329,0,0,0,0,0,0,NA
"Alaska","2021",189,731158,25.8494060107391,0,0,19,2.59861753547113,0,0,0,0,0,0,NA
"Arizona","2018",1162,7171646,16.2026960059099,281,3.91820789815894,172,2.39833366008305,350,4.88033012226203,126,1.75691884401433,0.301204819277108,0.241824440619621,0.802857142857143
