"YEAR","STATE","TX","DO","TX_DO_RATIO"
2018,"AK",0,19,0
2019,"AK",0,26,0
2020,"AK",0,20,0
2021,"AK",0,19,0
2018,"AL",119,125,0.952
2019,"AL",128,146,0.876712328767123
2020,"AL",97,145,0.668965517241379
2021,"AL",72,168,0.428571428571429
2018,"AR",37,50,0.74
2019,"AR",43,59,0.728813559322034
2020,"AR",33,52,0.634615384615385
2021,"AR",45,74,0.608108108108108
2018,"AZ",280,172,1.62790697674419
2019,"AZ",326,197,1.65482233502538
2020,"AZ",296,198,1.4949494949495
2021,"AZ",311,202,1.53960396039604
2018,"CA",785,681,1.15271659324523
2019,"CA",858,740,1.15945945945946
2020,"CA",915,738,1.23983739837398
2021,"CA",905,711,1.27285513361463
2018,"CO",107,85,1.25882352941176
2019,"CO",126,103,1.22330097087379
2020,"CO",113,133,0.849624060150376
2021,"CO",134,122,1.09836065573771
2018,"CT",56,54,1.03703703703704
2019,"CT",44,59,0.745762711864407
2020,"CT",45,58,0.775862068965517
2021,"CT",51,70,0.728571428571429
2018,"DC",92,32,2.875
2019,"DC",95,32,2.96875
2020,"DC",103,26,3.96153846153846
2021,"DC",109,26,4.19230769230769
2018,"DE",0,46,0
2019,"DE",0,52,0
2020,"DE",0,49,0
2021,"DE",0,57,0
2018,"FL",517,534,0.968164794007491
2019,"FL",625,585,1.06837606837607
2020,"FL",625,609,1.02627257799672
2021,"FL",717,662,1.08308157099698
2018,"GA",262,233,1.1244635193133
2019,"GA",260,254,1.02362204724409
2020,"GA",253,239,1.05857740585774
2021,"GA",275,251,1.09561752988048
2018,"HI",11,19,0.578947368421053
2019,"HI",13,21,0.619047619047619
2020,"HI",16,18,0.888888888888889
2021,"HI",17,19,0.894736842105263
2018,"IA",29,54,0.537037037037037
2019,"IA",32,54,0.592592592592593
2020,"IA",32,66,0.484848484848485
2021,"IA",18,67,0.26865671641791
2018,"ID",0,30,0
2019,"ID",0,28,0
2020,"ID",0,29,0
2021,"ID",0,42,0
2018,"IL",267,310,0.861290322580645
2019,"IL",292,300,0.973333333333333
2020,"IL",344,309,1.11326860841424
2021,"IL",321,288,1.11458333333333
2018,"IN",145,148,0.97972972972973
2019,"IN",144,161,0.894409937888199
2020,"IN",123,200,0.615
2021,"IN",149,213,0.699530516431925
2018,"KS",79,75,1.05333333333333
2019,"KS",80,80,1
2020,"KS",45,103,0.436893203883495
2021,"KS",50,101,0.495049504950495
2018,"KY",83,81,1.02469135802469
2019,"KY",67,82,0.817073170731707
2020,"KY",70,111,0.630630630630631
2021,"KY",93,122,0.762295081967213
2018,"LA",246,166,1.48192771084337
2019,"LA",239,187,1.27807486631016
2020,"LA",196,177,1.10734463276836
2021,"LA",174,191,0.910994764397906
2018,"MA",235,145,1.62068965517241
2019,"MA",248,124,2
2020,"MA",259,103,2.51456310679612
2021,"MA",250,102,2.45098039215686
2018,"MD",200,157,1.27388535031847
2019,"MD",177,145,1.22068965517241
2020,"MD",178,130,1.36923076923077
