"YEAR","STATE","N_INTERNAL_LIVERS","N_EXPORTED_LIVERS","N_IMPORTED_LIVERS","MAJORITY_EXPORTER","MAJORITY_IMPORTER"
2018,"AK",0,19,0,TRUE,FALSE
2018,"AL",85,40,34,FALSE,FALSE
2018,"AR",27,23,10,FALSE,FALSE
2018,"AZ",112,60,168,FALSE,TRUE
2018,"CA",566,115,219,FALSE,FALSE
2018,"CO",61,24,46,FALSE,FALSE
2018,"CT",20,34,36,TRUE,TRUE
2018,"DC",24,8,68,FALSE,TRUE
2018,"DE",0,46,0,TRUE,FALSE
2018,"FL",392,142,125,FALSE,FALSE
2018,"GA",174,59,88,FALSE,FALSE
2018,"HI",11,8,0,FALSE,FALSE
2018,"IA",23,31,6,TRUE,FALSE
2018,"ID",0,30,0,TRUE,FALSE
2018,"IL",222,88,45,FALSE,FALSE
2018,"IN",96,52,49,FALSE,FALSE
2018,"KS",32,43,47,TRUE,TRUE
2018,"KY",54,27,29,FALSE,FALSE
2018,"LA",128,38,118,FALSE,FALSE
2018,"MA",115,30,120,FALSE,TRUE
2018,"MD",102,55,98,FALSE,FALSE
2018,"ME",0,24,0,TRUE,FALSE
2018,"MI",163,59,28,FALSE,FALSE
2018,"MN",62,27,82,FALSE,TRUE
2018,"MO",117,102,50,FALSE,FALSE
2018,"MS",37,38,9,TRUE,FALSE
2018,"MT",0,23,0,TRUE,FALSE
2018,"NC",139,54,59,FALSE,FALSE
2018,"ND",0,15,0,TRUE,FALSE
2018,"NE",34,8,34,FALSE,FALSE
2018,"NH",0,19,0,TRUE,FALSE
2018,"NJ",42,110,8,TRUE,FALSE
2018,"NM",0,33,0,TRUE,FALSE
2018,"NV",0,131,0,TRUE,FALSE
2018,"NY",295,15,81,FALSE,FALSE
2018,"OH",279,45,99,FALSE,FALSE
2018,"OK",44,71,8,TRUE,FALSE
2018,"OR",45,5,37,FALSE,FALSE
2018,"PA",304,93,163,FALSE,FALSE
2018,"PR",28,47,4,TRUE,FALSE
2018,"RI",0,9,0,TRUE,FALSE
2018,"SC",63,62,11,FALSE,FALSE
2018,"SD",1,11,7,TRUE,TRUE
2018,"TN",168,93,53,FALSE,FALSE
2018,"TX",627,41,72,FALSE,FALSE
2018,"UT",38,30,38,FALSE,FALSE
2018,"VA",83,62,81,FALSE,FALSE
2018,"VI",0,1,0,TRUE,FALSE
2018,"VT",0,4,0,TRUE,FALSE
2018,"WA",96,35,45,FALSE,FALSE
2018,"WI",105,40,59,FALSE,FALSE
2018,"WV",0,50,0,TRUE,FALSE
2018,"WY",0,5,0,TRUE,FALSE
2019,"AK",0,26,0,TRUE,FALSE
2019,"AL",92,54,36,FALSE,FALSE
2019,"AR",29,30,14,TRUE,FALSE
2019,"AZ",119,78,207,FALSE,TRUE
