"STATE","TX_N_CHG_1YR19vs1YR21","TX_N_CHG_2YR1819vs2YR2122","TX_N_CHG_730Dvs730D","TX_PCT_CHG_1YR19vs1YR21","TX_PCT_CHG_2YR1819vs2YR2122","TX_PCT_CHG_730Dvs730D"
"PA",-80,-50,-51.9288645690835,-0.136752136752137,-0.0892857142857143,-0.0913884007029878
"LA",-65,-78.5,-64.4117647058823,-0.271966527196653,-0.323045267489712,-0.263803680981595
"AL",-56,-46,-41.4432284541724,-0.4375,-0.37246963562753,-0.338775510204082
"TX",-39,33,21.470588235294,-0.0476190476190477,0.0423892100192678,0.027388535031847
"KS",-30,-27.5,-26.9630642954856,-0.375,-0.345911949685535,-0.36241610738255
"NC",-25,-4.5,-18.9740082079343,-0.102040816326531,-0.0203160270880361,-0.084070796460177
"AZ",-15,19.5,-5.99179206566345,-0.0460122699386503,0.0642504118616145,-0.0195758564437193
"IA",-13,-10,-8.48837209302325,-0.40625,-0.327868852459016,-0.265625
"TN",-10,3.99999999999997,5.99179206566347,-0.0434782608695652,0.0176211453744493,0.0263736263736263
"MI",-9.00000000000003,0.499999999999972,-20.9712722298222,-0.040358744394619,0.00234741784037551,-0.096997690531178
"PR",-9,-4.5,-7.9890560875513,-0.214285714285714,-0.121621621621622,-0.213333333333333
"SD",-6,-5,0,-0.5,-0.5,0
"WI",-5,-11.5,-2.99589603283175,-0.0331125827814569,-0.073015873015873,-0.018575851393189
"SC",-4,-4,-10.984952120383,-0.0533333333333333,-0.0536912751677853,-0.148648648648649
"MS",-3.00000000000001,0.5,-4.99316005471957,-0.0588235294117648,0.0103092783505154,-0.105263157894737
"CO",-3,20,-1.49794801641588,-0.0202702702702703,0.149812734082397,-0.0111111111111112
"WA",1,10,-2.99589603283175,0.00680272108843538,0.0694444444444444,-0.0203389830508476
"AR",2,7.99999999999999,-1.99726402188783,0.0465116279069768,0.2,-0.0493827160493828
"MA",2,17,8.48837209302326,0.00738007380073791,0.0636704119850187,0.0323193916349811
"NJ",3,4.50000000000001,-1.99726402188783,0.0535714285714286,0.0849056603773586,-0.0366972477064221
"HI",4,5.5,3.99452804377565,0.307692307692308,0.458333333333333,0.333333333333333
"CT",5,4.00000000000001,-0.499316005471961,0.104166666666667,0.0740740740740742,-0.0095238095238096
"NE",5,14.5,22.469220246238,0.0561797752808988,0.182389937106918,0.288461538461538
"GA",7,-4.5,-5.49247606019156,0.0260223048327137,-0.0168539325842697,-0.0204460966542752
"OR",7,-0.5,-0.499316005471954,0.0921052631578947,-0.00632911392405067,-0.00613496932515334
"DC",16,21.5,7.48974008207932,0.166666666666667,0.228723404255319,0.0773195876288657
"IN",17,12,-5.49247606019151,0.118055555555556,0.0830449826989619,-0.0376712328767123
"MD",24,11.5,2.49658002735978,0.115942028985507,0.0529953917050692,0.011737089201878
"KY",26,12,10.984952120383,0.388059701492537,0.16,0.152777777777778
"MO",28,29,15.4787961696307,0.15819209039548,0.168604651162791,0.0878186968838528
"IL",36,57,59.4186046511628,0.118421052631579,0.195540308747856,0.202725724020443
"MN",43,48.5,33.4541723666211,0.234972677595628,0.278735632183908,0.185595567867036
"UT",50,66.5,43.9398084815321,0.574712643678161,0.773255813953488,0.508670520231214
"VA",54,66,52.4281805745554,0.284210526315789,0.367688022284122,0.291666666666667
"CA",56.0000000000001,124,105.355677154583,0.0620155038759691,0.144269924374636,0.123319696084161
"OH",62.0000000000001,89.5000000000001,69.4049247606019,0.137472283813747,0.211084905660378,0.163145539906103
"OK",69,80,52.9274965800273,1.23214285714286,1.48148148148148,0.954954954954955
"FL",96,125.5,92.8727770177838,0.1536,0.219789842381786,0.160344827586207
"NY",145,215,154.288645690835,0.317286652078775,0.491428571428572,0.356401384083045
