"REC_TX_DT_DATE","N_TX","N_TX_30D","N_TX_365D"
2016-01-01,10,NA,NA
2016-01-02,14,NA,NA
2016-01-03,20,NA,NA
2016-01-04,23,NA,NA
2016-01-05,17,NA,NA
2016-01-06,17,NA,NA
2016-01-07,20,NA,NA
2016-01-08,17,NA,NA
2016-01-09,19,NA,NA
2016-01-10,10,NA,NA
2016-01-11,17,NA,NA
2016-01-12,16,NA,NA
2016-01-13,13,NA,NA
2016-01-14,7,NA,NA
2016-01-15,14,NA,NA
2016-01-16,20,NA,NA
2016-01-17,16,NA,NA
2016-01-18,12,NA,NA
2016-01-19,18,NA,NA
2016-01-20,15,NA,NA
2016-01-21,16,NA,NA
2016-01-22,23,NA,NA
2016-01-23,11,NA,NA
2016-01-24,16,NA,NA
2016-01-25,14,NA,NA
2016-01-26,22,NA,NA
2016-01-27,19,NA,NA
2016-01-28,27,NA,NA
2016-01-29,24,NA,NA
2016-01-30,22,509,NA
2016-01-31,20,519,NA
2016-02-01,14,519,NA
2016-02-02,18,517,NA
2016-02-03,22,516,NA
2016-02-04,17,516,NA
2016-02-05,19,518,NA
2016-02-06,22,520,NA
2016-02-07,20,523,NA
2016-02-08,22,526,NA
2016-02-09,15,531,NA
2016-02-10,21,535,NA
2016-02-11,20,539,NA
2016-02-12,21,547,NA
2016-02-13,21,561,NA
2016-02-14,17,564,NA
2016-02-15,24,568,NA
2016-02-16,29,581,NA
2016-02-17,19,588,NA
2016-02-18,19,589,NA
2016-02-19,15,589,NA
2016-02-20,17,590,NA
2016-02-21,16,583,NA
2016-02-22,15,587,NA
2016-02-23,25,596,NA
2016-02-24,19,601,NA
2016-02-25,26,605,NA
2016-02-26,21,607,NA
2016-02-27,23,603,NA
2016-02-28,11,590,NA
2016-02-29,10,578,NA
2016-03-01,20,578,NA
2016-03-02,17,581,NA
2016-03-03,14,577,NA
2016-03-04,15,570,NA
2016-03-05,18,571,NA
2016-03-06,18,570,NA
2016-03-07,24,572,NA
2016-03-08,22,574,NA
2016-03-09,25,577,NA
2016-03-10,25,587,NA
2016-03-11,28,594,NA
2016-03-12,26,600,NA
2016-03-13,22,601,NA
2016-03-14,14,594,NA
2016-03-15,24,601,NA
2016-03-16,19,596,NA
2016-03-17,18,585,NA
2016-03-18,20,586,NA
2016-03-19,14,581,NA
2016-03-20,16,582,NA
2016-03-21,22,587,NA
2016-03-22,17,588,NA
2016-03-23,27,600,NA
2016-03-24,17,592,NA
2016-03-25,13,586,NA
2016-03-26,17,577,NA
2016-03-27,24,580,NA
2016-03-28,21,578,NA
2016-03-29,20,587,NA
2016-03-30,18,595,NA
2016-03-31,22,597,NA
2016-04-01,21,601,NA
2016-04-02,25,612,NA
2016-04-03,23,620,NA
2016-04-04,21,623,NA
2016-04-05,24,629,NA
2016-04-06,22,627,NA
2016-04-07,20,625,NA
2016-04-08,27,627,NA
2016-04-09,20,622,NA
2016-04-10,20,614,NA
2016-04-11,11,599,NA
2016-04-12,25,602,NA
2016-04-13,25,613,NA
2016-04-14,28,617,NA
2016-04-15,18,616,NA
2016-04-16,25,623,NA
2016-04-17,15,618,NA
2016-04-18,19,623,NA
2016-04-19,17,624,NA
2016-04-20,26,628,NA
2016-04-21,20,631,NA
2016-04-22,18,622,NA
2016-04-23,16,621,NA
2016-04-24,20,628,NA
2016-04-25,13,624,NA
2016-04-26,20,620,NA
2016-04-27,19,618,NA
